,official gene symbol,cell type (general),cell type id (human),gene id
6720,ENTPD1,Microglia,Q101404888,Q17859534
6721,ENTPD1,T regulatory cells,Q101405084,Q17859534
6722,TMEM173,Microglia,Q101404888,Q18055374
6723,TBXAS1,Microglia,Q101404888,Q14881694
6724,P2RY13,Microglia,Q101404888,Q18040688
6725,MYO1F,Microglia,Q101404888,Q18029570
6726,ITGB5,Microglia,Q101404888,Q18028041
6727,ITGB5,Osteoclasts,Q101404928,Q18028041
6728,ITGB5,Podocytes,Q101405039,Q18028041
6729,ITGB5,T memory cells,Q101405071,Q18028041
6730,COLEC12,Microglia,Q101404888,Q18046841
6731,AEBP1,Microglia,Q101404888,Q17815722
6732,PTGS1,Microglia,Q101404888,Q18030905
6733,PTGS1,Platelets,Q101404882,Q18030905
6734,PTGS1,Tuft cells,Q101404870,Q18030905
6735,PTGS1,Tuft cells,Q101404871,Q18030905
6736,APBB1IP,Microglia,Q101404888,Q795138
6737,APBB1IP,T memory cells,Q101405071,Q795138
6738,CYFIP1,Microglia,Q101404888,Q18036981
6739,MERTK,Microglia,Q101404888,Q18035403
6740,MERTK,Podocytes,Q101405039,Q18035403
6741,MERTK,Red pulp macrophages,Q101404936,Q18035403
6742,BIN2,Microglia,Q101404888,Q18040274
6743,BIN2,Platelets,Q101404882,Q18040274
6744,BIN2,T memory cells,Q101405071,Q18040274
6745,CMTM6,Microglia,Q101404888,Q18041379
6746,CCRL2,Microglia,Q101404888,Q18033775
6747,CCRL2,Neutrophils,Q101405102,Q18033775
6748,MRC2,Microglia,Q101404888,Q18034865
6749,CD53,Microglia,Q101404888,Q15315489
6750,FOS,Microglia,Q101404888,Q14906123
6751,SKI,Microglia,Q101404888,Q14913261
6752,APOBEC3A,Monocytes,Q101405036,Q18053168
6753,DYSF,Monocytes,Q101405036,Q14885337
6754,MEFV,Monocytes,Q101405036,Q14881867
6755,FCGR3B,Monocytes,Q101405036,Q17927797
6756,PADI4,Monocytes,Q101405036,Q18037287
6757,TNFRSF14,Monocytes,Q101405036,Q18033326
6758,ADA2,Monocytes,Q101405036,Q18040601
6759,MGMT,Monocytes,Q101405036,Q18252301
6760,ACP5,Monocytes,Q101405036,Q14907831
6761,ACP5,Osteoclasts,Q101404928,Q14907831
6762,ACP5,T memory cells,Q101405071,Q14907831
6763,GBP1,Monocytes,Q101405036,Q18025537
6764,OAS1,Monocytes,Q101405036,Q18030248
6765,MX1,Monocytes,Q101405036,Q18029685
6766,IL1RN,Monocytes,Q101405036,Q14914156
6767,IFIT1,Monocytes,Q101405036,Q18027581
6768,IFIT1,Neural stem/precursor cells,Q101405041,Q18027581
6769,IDO1,Monocytes,Q101405036,Q14907414
6770,ZFP36L2,Monocytes,Q101405036,Q17853510
6771,LTA4H,Monocytes,Q101405036,Q6534531
6772,LTA4H,Sebocytes,Q101405069,Q6534531
6773,CLEC12A,Monocytes,Q101405036,Q18052461
6774,PRTN3,Monocytes,Q101405036,Q14877621
6775,PRTN3,Neutrophils,Q101405102,Q14877621
6776,IFITM3,Monocytes,Q101405036,Q18035362
6777,PSAP,Monocytes,Q101405036,Q14914243
6778,FCN1,Monocytes,Q101405036,Q17927811
6779,RHOC,Monocytes,Q101405036,Q17831671
6780,PILRA,Monocytes,Q101405036,Q18039755
6781,PILRA,Neutrophils,Q101405102,Q18039755
6782,NFKBIZ,Monocytes,Q101405036,Q18045638
6783,LY6E,Monocytes,Q101405036,Q18028710
6784,LYN,Monocytes,Q101405036,Q15331874
6785,IFI30,Monocytes,Q101405036,Q18035383
6786,S100A12,Monocytes,Q101405036,Q18031357
6787,RGS2,Monocytes,Q101405036,Q18031115
6788,RGS2,Tuft cells,Q101404870,Q18031115
6789,RGS2,Tuft cells,Q101404871,Q18031115
6790,SPI1,Monocytes,Q101405036,Q18031669
6791,CSTA,Monocytes,Q101405036,Q17911027
6792,PYCARD,Monocytes,Q101405036,Q18039614
6793,LYST,Monocytes,Q101405036,Q4392057
6794,LYST,Neutrophils,Q101405102,Q4392057
6795,MNX1,Motor neurons,Q101404862,Q18026930
6796,ISL2,Motor neurons,Q101404862,Q18045777
6797,EVX2,Motor neurons,Q101404862,Q18055583
6798,SIM1,Motor neurons,Q101404862,Q18031506
6799,CNR2,Müller cells,Q101405096,Q17907844
6800,CNR2,Müller cells,Q101405097,Q17907844
6801,CNR2,Sebocytes,Q101405069,Q17907844
6802,RDH10,Müller cells,Q101405096,Q18052328
6803,RDH10,Müller cells,Q101405097,Q18052328
6804,SLITRK2,Müller cells,Q101405096,Q18047686
6805,SLITRK2,Müller cells,Q101405097,Q18047686
6806,SLITRK2,Peri-islet Schwann cells,Q101404867,Q18047686
6807,CROT,Müller cells,Q101405096,Q18041195
6808,CROT,Müller cells,Q101405097,Q18041195
6809,CRYM,Müller cells,Q101405096,Q17910350
6810,CRYM,Müller cells,Q101405097,Q17910350
6811,CRYM,Tanycytes,Q101405074,Q17910350
6812,DAPL1,Müller cells,Q101405096,Q18048605
6813,DAPL1,Müller cells,Q101405097,Q18048605
6814,COL4A2,Müller cells,Q101405096,Q17907875
6815,COL4A2,Müller cells,Q101405097,Q17907875
6816,CLU,Müller cells,Q101405096,Q14864935
6817,CLU,Müller cells,Q101405097,Q14864935
6818,CLU,Sertoli cells,Q101404909,Q14864935
6819,S100A16,Müller cells,Q101405096,Q18050826
6820,S100A16,Müller cells,Q101405097,Q18050826
6821,DBI,Müller cells,Q101405096,Q17913005
6822,DBI,Müller cells,Q101405097,Q17913005
6823,GNAI2,Müller cells,Q101405096,Q18026222
6824,GNAI2,Müller cells,Q101405097,Q18026222
6825,GPR37,Müller cells,Q101405096,Q18026418
6826,GPR37,Müller cells,Q101405097,Q18026418
6827,GPR37,Oligodendrocytes,Q101404898,Q18026418
6828,KCNJ2,Müller cells,Q101405096,Q14905759
6829,KCNJ2,Müller cells,Q101405097,Q14905759
6830,KCNJ10,Müller cells,Q101405096,Q18028187
6831,KCNJ10,Müller cells,Q101405097,Q18028187
6832,SPC25,Müller cells,Q101405096,Q18043025
6833,SPC25,Müller cells,Q101405097,Q18043025
6834,ITM2B,Müller cells,Q101405096,Q18034170
6835,ITM2B,Müller cells,Q101405097,Q18034170
6836,ATG4B,Müller cells,Q101405096,Q18036982
6837,ATG4B,Müller cells,Q101405097,Q18036982
6838,CA2,Müller cells,Q101405096,Q18021049
6839,CA2,Müller cells,Q101405097,Q18021049
6840,CA2,Osteoclasts,Q101404928,Q18021049
6841,CA2,Platelets,Q101404882,Q18021049
6842,ZBED4,Müller cells,Q101405096,Q18034855
6843,ZBED4,Müller cells,Q101405097,Q18034855
6844,ZBED4,Neuroblasts,Q101405031,Q18034855
6845,PRDX6,Müller cells,Q101405096,Q18034402
6846,PRDX6,Müller cells,Q101405097,Q18034402
6847,PRDX6,Tanycytes,Q101405074,Q18034402
6848,CRB1,Müller cells,Q101405096,Q18037166
6849,CRB1,Müller cells,Q101405097,Q18037166
6850,SFTPA1,Müller cells,Q101405096,Q18060624
6851,SFTPA1,Müller cells,Q101405097,Q18060624
6852,SFTPA1,Pulmonary alveolar type II cells,Q101404950,Q18060624
6853,CEACAM8,Myeloid-derived suppressor cells,Q101062473,Q17861559
6854,CEACAM8,Myeloid-derived suppressor cells,Q101404944,Q17861559
6855,CEACAM8,Neutrophils,Q101405102,Q17861559
6856,CD1D,Myeloid-derived suppressor cells,Q101062473,Q14905526
6857,CD1D,Myeloid-derived suppressor cells,Q101404944,Q14905526
6858,CD1D,Thymocytes,Q101405038,Q14905526
6859,MYOG,Myoblasts,Q101404940,Q14906383
6860,MYOG,Myocytes,Q101404903,Q14906383
6861,CDH15,Myoblasts,Q101404940,Q17860104
6862,CDH15,Myocytes,Q101404903,Q17860104
6863,CDH15,Satellite cells,Q101404953,Q17860104
6864,MYF5,Myoblasts,Q101404940,Q18029725
6865,MYF5,Myocytes,Q101404903,Q18029725
6866,MYF5,Satellite cells,Q101404953,Q18029725
6867,MYOD1,Myoblasts,Q101404940,Q14864492
6868,MYOD1,Myocytes,Q101404903,Q14864492
6869,MYOD1,Satellite cells,Q101404953,Q14864492
6870,MUSK,Myoblasts,Q101404940,Q18029677
6871,STK40,Myoblasts,Q101404940,Q18047332
6872,TNFRSF12A,Myoblasts,Q101404940,Q18040221
6873,TNFRSF12A,Satellite cells,Q101404953,Q18040221
6874,MYD88,Myoblasts,Q101404940,Q14905557
6875,SIX1,Myoblasts,Q101404940,Q18031509
6876,SIX1,Myocytes,Q101404903,Q18031509
6877,SIX1,Satellite cells,Q101404953,Q18031509
6878,PDZRN3,Myoblasts,Q101404940,Q18036663
6879,TNNI2,Myocytes,Q101404903,Q18032048
6880,TNNT1,Myocytes,Q101404903,Q18032050
6881,TNNT3,Myocytes,Q101404903,Q18032052
6882,TNNC2,Myocytes,Q101404903,Q18032038
6883,ACTN3,Myocytes,Q101404903,Q17709323
6884,ANKRD2,Myocytes,Q101404903,Q4652992
6885,CAPZA3,Myocytes,Q101404903,Q18048737
6886,CLOCK,Myocytes,Q101404903,Q14908739
6887,ITGA7,Myocytes,Q101404903,Q18028020
6888,ITGA7,Satellite cells,Q101404953,Q18028020
6889,LDB1,Myocytes,Q101404903,Q18033488
6890,LDB3,Myocytes,Q101404903,Q18036165
6891,MSTN,Myocytes,Q101404903,Q14864102
6892,MSTN,Satellite cells,Q101404953,Q14864102
6893,MYH1,Myocytes,Q101404903,Q18029730
6894,MYH4,Myocytes,Q101404903,Q18029739
6895,MYH8,Myocytes,Q101404903,Q18029745
6896,NBR1,Myocytes,Q101404903,Q18028753
6897,NEB,Myocytes,Q101404903,Q3117355
6898,NID1,Myocytes,Q101404903,Q14866305
6899,NID2,Myocytes,Q101404903,Q18036493
6900,TMOD4,Myocytes,Q101404903,Q18039637
6901,SIX4,Myocytes,Q101404903,Q18040590
6902,CAV3,Myocytes,Q101404903,Q14901714
6903,DLL1,Myocytes,Q101404903,Q18039045
6904,DLL1,Paneth cells,Q101405040,Q18039045
6905,DOCK1,Myocytes,Q101404903,Q17914048
6906,DOCK1,Podocytes,Q101405039,Q17914048
6907,DOCK5,Myocytes,Q101404903,Q18046526
6908,DOCK5,Podocytes,Q101405039,Q18046526
6909,IQSEC1,Myocytes,Q101404903,Q18034884
6910,MYH14,Myocytes,Q101404903,Q18046347
6911,NPHS1,Myocytes,Q101404903,Q14907393
6912,NPHS1,Podocytes,Q101405039,Q14907393
6913,PRKCQ,Myocytes,Q101404903,Q18030780
6914,PTGIR,Myocytes,Q101404903,Q18030904
6915,PTK2,Myocytes,Q101404903,Q15333532
6916,PXN,Myocytes,Q101404903,Q14906591
6917,PXN,Myoepithelial cells,Q101404924,Q14906591
6918,TRIO,Myocytes,Q101404903,Q4864556
6919,WASHC1,Myocytes,Q101404903,Q18065478
6920,WIPF1,Myocytes,Q101404903,Q18032345
6921,WIPF1,Platelets,Q101404882,Q18032345
6922,EDN1,Myocytes,Q101404903,Q18023132
6923,MEF2A,Myocytes,Q101404903,Q18028999
6924,MEF2B,Myocytes,Q101404903,Q18065430
6925,MEF2D,Myocytes,Q101404903,Q18029011
6926,POPDC2,Myocytes,Q101404903,Q18045554
6927,MYLPF,Myocytes,Q101404903,Q18039680
6928,MYOZ1,Myocytes,Q101404903,Q18045054
6929,THBS4,Myocytes,Q101404903,Q18031981
6930,CA3,Myoepithelial cells,Q101404924,Q5038047
6931,MDFI,Myoepithelial cells,Q101404924,Q6715136
6932,GRWD1,Myoepithelial cells,Q101404924,Q18047260
6933,SMIM3,Myoepithelial cells,Q101404924,Q18047965
6934,IL12RB2,Natural killer T cells,Q101404895,Q18027877
6935,IL17RA,Natural killer T cells,Q101404895,Q18037634
6936,IL12RB1,Natural killer T cells,Q101404895,Q18027875
6937,KLRB1,Natural killer T cells,Q101404895,Q18028307
6938,KLRB1,NK cells,Q68620803,Q18028307
6939,KLRB1,T cells,Q101405075,Q18028307
6940,KLRB1,T helper cells,Q101404876,Q18028307
6942,ITGB2,Natural killer T cells,Q101404895,Q14912067
6943,ITGB2,Platelets,Q101404882,Q14912067
6944,MAP3K8,Natural killer T cells,Q101404895,Q17908803
6945,MAP3K8,Plasmacytoid dendritic cells,Q101405033,Q17908803
6946,TNFRSF8,Natural killer T cells,Q101404895,Q14877371
6947,IL2RB,Natural killer T cells,Q101404895,Q18027822
6948,IL2RB,NK cells,Q68620803,Q18027822
6949,IL2RB,T cells,Q101405075,Q18027822
6950,TBX21,Natural killer T cells,Q101404895,Q18039765
6951,TBX21,NK cells,Q68620803,Q18039765
6952,TBX21,T helper cells,Q101404876,Q18039765
6954,NCAM1,Natural killer T cells,Q101404895,Q14865331
6955,NCAM1,Neuroblasts,Q101405031,Q14865331
6956,NCAM1,Satellite cells,Q101404953,Q14865331
6957,STYK1,Natural killer T cells,Q101404895,Q18041797
6958,STYK1,NK cells,Q68620803,Q18041797
6959,TCF7,Natural killer T cells,Q101404895,Q18031870
6960,TCF7,T cells,Q101405075,Q18031870
6961,TCF7,T memory cells,Q101405071,Q18031870
6962,SOX1,Neural stem/precursor cells,Q101405041,Q18031648
6963,IGF1R,Neural stem/precursor cells,Q101405041,Q14901457
6964,SP8,Neural stem/precursor cells,Q101405041,Q20970083
6965,SP8,Neuroblasts,Q101405031,Q20970083
6966,RBM3,Neural stem/precursor cells,Q101405041,Q18031062
6967,SOX3,Neural stem/precursor cells,Q101405041,Q18031650
6968,NEUROD4,Neural stem/precursor cells,Q101405041,Q18044768
6969,NEUROD4,Photoreceptor cells,Q101404878,Q18044768
6970,NEUROD4,Photoreceptor cells,Q101404879,Q18044768
6971,NEUROG1,Neural stem/precursor cells,Q101405041,Q18030059
6972,NEUROG1,Neuroblasts,Q101405031,Q18030059
6973,NHLH1,Neural stem/precursor cells,Q101405041,Q18030132
6974,PPP1R17,Neural stem/precursor cells,Q101405041,Q18035882
6975,TMTC4,Neural stem/precursor cells,Q101405041,Q18047859
6976,PLEKHH2,Neural stem/precursor cells,Q101405041,Q18049977
6977,PLEKHH2,Podocytes,Q101405039,Q18049977
6978,PARP12,Neural stem/precursor cells,Q101405041,Q18045735
6979,INAFM2,Neural stem/precursor cells,Q101405041,Q20768022
6980,ISG15,Neural stem/precursor cells,Q101405041,Q18034520
6981,IFI44,Neural stem/precursor cells,Q101405041,Q18035485
6982,MGAT5,Neural stem/precursor cells,Q101405041,Q18029085
6983,PBK,Neural stem/precursor cells,Q101405041,Q18042131
6984,CBX3,Neural stem/precursor cells,Q101405041,Q15311509
6985,SP9,Neural stem/precursor cells,Q101405041,Q18063371
6986,SP9,Neuroblasts,Q101405031,Q18063371
6987,LHX9,Neural stem/precursor cells,Q101405041,Q18042706
6988,DBX1,Neural stem/precursor cells,Q101405041,Q18049388
6989,DLL3,Neural stem/precursor cells,Q101405041,Q18035604
6990,DLL3,Neuroblasts,Q101405031,Q18035604
6991,OTX1,Neural stem/precursor cells,Q101405041,Q18030308
6992,HES5,Neural stem/precursor cells,Q101405041,Q18056532
6993,HES5,Radial glia cells,Q101404897,Q18056532
6994,HES5,Sertoli cells,Q101404909,Q18056532
6995,PRSS56,Neural stem/precursor cells,Q101405041,Q18060359
6996,ID4,Neural stem/precursor cells,Q101405041,Q18027509
6997,DCX,Neural stem/precursor cells,Q101405041,Q14912973
6998,DCX,Neuroblasts,Q101405031,Q14912973
6999,CCND2,Neural stem/precursor cells,Q101405041,Q5198271
7000,SALL3,Neuroblasts,Q101405031,Q18038686
7001,DRAXIN,Neuroblasts,Q101405031,Q18056119
7002,ERBB4,Neuroblasts,Q101405031,Q17917202
7003,TRIM32,Neuroblasts,Q101405031,Q18036619
7004,TRIM32,Pluripotent stem cells,Q101405055,Q18036619
7005,TRIM32,Satellite cells,Q101404953,Q18036619
7006,IGFBPL1,Neuroblasts,Q101405031,Q18055692
7007,PHF1,Neuroblasts,Q101405031,Q18030514
7008,MAPK7,Neuroblasts,Q101405031,Q18030789
7009,PROKR2,Neuroblasts,Q101405031,Q18049896
7010,POU6F2,Neuroblasts,Q101405031,Q18036455
7011,POU6F2,Retinal ganglion cells,Q101405117,Q18036455
7012,EFNA2,Neuroblasts,Q101405031,Q17916055
7013,CCKAR,Neuroblasts,Q101405031,Q5104298
7014,GRM5,Neuroblasts,Q101405031,Q18026547
7015,GRM5,Neuroendocrine cells,Q101405206,Q18026547
7016,GRM5,Neurons,Q101405104,Q18026547
7017,GRM5,Pyramidal cells,Q101404930,Q18026547
7018,EZH2,Neuroblasts,Q101405031,Q17917770
7019,MARK2,Neuroblasts,Q101405031,Q17916776
7020,NCAN,Neuroblasts,Q101405031,Q15996896
7021,EPHA4,Neuroblasts,Q101405031,Q18250397
7022,TACC3,Neuroblasts,Q101405031,Q18035402
7023,TUBB3,Neuroblasts,Q101405031,Q18035338
7024,TUBB3,Neurons,Q101405104,Q18035338
7025,SIRT1,Neuroblasts,Q101405031,Q18037159
7026,SIRT1,Trophoblast cells,Q101404927,Q18037159
7027,PROS1,Neuroblasts,Q101405031,Q14864939
7028,PROS1,Podocytes,Q101405039,Q14864939
7029,CLASP2,Neuroendocrine cells,Q101405206,Q18036750
7030,FXYD7,Neuroendocrine cells,Q101405206,Q18040676
7031,FXYD7,Retinal ganglion cells,Q101405117,Q18040676
7032,DPF1,Neuroendocrine cells,Q101405206,Q18032761
7033,SFXN5,Neuroendocrine cells,Q101405206,Q18048783
7034,CCDC85C,Neuroendocrine cells,Q101405206,Q18054945
7035,ATXN1,Neuroendocrine cells,Q101405206,Q14905515
7036,GPR88,Neuroendocrine cells,Q101405206,Q15330184
7037,PDE10A,Neuroendocrine cells,Q101405206,Q5864325
7038,PDE10A,Pinealocytes,Q101404890,Q5864325
7039,ABHD2,Neuroendocrine cells,Q101405206,Q18036077
7040,ABHD2,Spermatozoa,Q101405053,Q18036077
7041,SPOCK1,Neuroendocrine cells,Q101405206,Q18031675
7042,SPOCK1,Olfactory epithelial cells,Q101405047,Q18031675
7043,NEGR1,Neuroendocrine cells,Q101405206,Q18053882
7044,DUSP26,Neuroendocrine cells,Q101405206,Q18045916
7045,DUSP26,Neurons,Q101405104,Q18045916
7046,ARHGDIG,Neuroendocrine cells,Q101405206,Q17831972
7047,ARHGDIG,Neurons,Q101405104,Q17831972
7048,PRSS12,Neuroendocrine cells,Q101405206,Q18032980
7049,SERPINI1,Neuroendocrine cells,Q101405206,Q18030534
7050,EPO,Neurons,Q101405104,Q14852026
7051,CSF3,Neurons,Q101405104,Q14863119
7052,NEFH,Neurons,Q101405104,Q18030023
7053,NEFH,Retinal progenitor cells,Q101404912,Q18030023
7054,NEFH,Trigeminal neurons,Q101404857,Q18030023
7055,DLG4,Neurons,Q101405104,Q17914012
7056,DLG4,Purkinje neurons,Q101404913,Q17914012
7057,DLG4,Pyramidal cells,Q101404930,Q17914012
7058,GABRA1,Neurons,Q101405104,Q18025042
7059,GABRA1,Photoreceptor cells,Q101404878,Q18025042
7060,GABRA1,Photoreceptor cells,Q101404879,Q18025042
7061,GABRA1,Purkinje neurons,Q101404913,Q18025042
7062,MATN2,Neurons,Q101405104,Q18028899
7063,MATN2,Schwann cells,Q101404893,Q18028899
7064,SLC36A4,Neurons,Q101405104,Q18049381
7065,PRPH,Neurons,Q101405104,Q14864874
7066,PRPH,Trigeminal neurons,Q101404857,Q14864874
7067,MECP2,Neurons,Q101405104,Q18028997
7068,RIN1,Neurons,Q101405104,Q18034416
7069,OMP,Neurons,Q101405104,Q18030276
7070,OMP,Olfactory epithelial cells,Q101405047,Q18030276
7071,OMP,Purkinje neurons,Q101404913,Q18030276
7072,PTPN11,Neurons,Q101405104,Q14905494
7073,CBARP,Neurons,Q101405104,Q18053777
7074,B3GAT2,Neurons,Q101405104,Q18050606
7075,SHISA2,Neurons,Q101405104,Q18056437
7076,FAM181B,Neurons,Q101405104,Q18053435
7077,CTXN2,Neurons,Q101405104,Q18057439
7078,CLSTN3,Neurons,Q101405104,Q18034639
7079,CLSTN3,Purkinje neurons,Q101404913,Q18034639
7080,HDAC11,Neurons,Q101405104,Q18046437
7081,HDAC11,Oligodendrocytes,Q101404898,Q18046437
7082,SLC30A9,Neurons,Q101405104,Q18035405
7083,COPG1,Neurons,Q101405104,Q18036511
7084,FBXW7,Neurons,Q101405104,Q18041738
7085,NMT1,Neurons,Q101405104,Q18252670
7086,ARID4A,Neurons,Q101405104,Q18031052
7087,ZRSR1,Neurons,Q101405104,Q18032243
7088,TMEM91,Neurons,Q101405104,Q18059385
7089,CDK5,Neurons,Q101405104,Q18248262
7090,SAFB,Neurons,Q101405104,Q18031367
7091,RNF220,Neurons,Q101405104,Q18041627
7092,RNF220,Olfactory epithelial cells,Q101405047,Q18041627
7093,RASGRF1,Neurons,Q101405104,Q18031049
7094,TCEAL6,Neurons,Q101405104,Q18052434
7095,TMEM179,Neurons,Q101405104,Q18056449
7096,NICN1,Neurons,Q101405104,Q18047524
7097,NICN1,Trigeminal neurons,Q101404857,Q18047524
7098,NAPG,Neurons,Q101405104,Q18033340
7099,CMIP,Neurons,Q101405104,Q18046802
7100,CMIP,Olfactory epithelial cells,Q101405047,Q18046802
7101,ZMYND11,Neurons,Q101405104,Q18035816
7102,RHBDD2,Neurons,Q101405104,Q18043032
7103,ST8SIA3,Neurons,Q101405104,Q18039940
7104,PQBP1,Neurons,Q101405104,Q18035013
7105,TRO,Neurons,Q101405104,Q18032176
7106,SYT5,Neurons,Q101405104,Q18031811
7107,FLYWCH1,Neurons,Q101405104,Q18047503
7108,RIT2,Neurons,Q101405104,Q18031133
7109,TCEAL5,Neurons,Q101405104,Q18055423
7110,PNCK,Neurons,Q101405104,Q18050785
7111,TMEM59L,Neurons,Q101405104,Q18037690
7112,GPRASP2,Neurons,Q101405104,Q18049121
7113,MAP7D2,Neurons,Q101405104,Q18053860
7114,MIAT,Neurons,Q101405104,Q18058445
7115,RB1CC1,Neurons,Q101405104,Q18034704
7116,GRIA3,Neurons,Q101405104,Q15320180
7117,GRIA3,Purkinje neurons,Q101404913,Q15320180
7118,GRIA3,Pyramidal cells,Q101404930,Q15320180
7119,SFSWAP,Neurons,Q101405104,Q18031462
7120,SCN1A,Neurons,Q101405104,Q18031391
7121,RNPC3,Neurons,Q101405104,Q18041882
7122,RNPC3,Photoreceptor cells,Q101404878,Q18041882
7123,RNPC3,Photoreceptor cells,Q101404879,Q18041882
7124,RERE,Neurons,Q101405104,Q17832834
7125,TRIP11,Neurons,Q101405104,Q18033999
7126,KMT2C,Neurons,Q101405104,Q18044982
7127,SAFB2,Neurons,Q101405104,Q18034564
7128,SACS,Neurons,Q101405104,Q18038213
7129,CSPP1,Neurons,Q101405104,Q18046404
7130,CHD6,Neurons,Q101405104,Q18047449
7131,ZCCHC7,Neurons,Q101405104,Q18047451
7132,GPATCH8,Neurons,Q101405104,Q18036800
7133,PPP1R14C,Neurons,Q101405104,Q18047089
7134,PPP1R14C,Olfactory epithelial cells,Q101405047,Q18047089
7135,PPP1R14C,Pulmonary alveolar type II cells,Q101404950,Q18047089
7136,CCDC28B,Neurons,Q101405104,Q18046020
7137,CCDC28B,Olfactory epithelial cells,Q101405047,Q18046020
7138,KCNK1,Neurons,Q101405104,Q18028205
7139,GPR162,Neurons,Q101405104,Q18038731
7140,TMEM191C,Neurons,Q101405104,Q18059979
7141,SLC6A17,Neurons,Q101405104,Q18056548
7142,DNER,Neurons,Q101405104,Q18048662
7143,DNER,Retinal ganglion cells,Q101405117,Q18048662
7144,PPP1R9A,Neurons,Q101405104,Q18041889
7145,ATP6V1H,Neurons,Q101405104,Q18040454
7146,HPCA,Neurons,Q101405104,Q14902288
7147,HPCA,Retinal ganglion cells,Q101405117,Q14902288
7148,CPNE6,Neurons,Q101405104,Q18034030
7149,RIMS3,Neurons,Q101405104,Q18034670
7150,OGFOD1,Neurons,Q101405104,Q18041688
7151,DTD1,Neurons,Q101405104,Q18048654
7152,PRMT2,Neurons,Q101405104,Q18027296
7153,AVP,Neurons,Q101405104,Q12009087
7154,NECAB2,Neurons,Q101405104,Q18041093
7155,CACNB3,Neurons,Q101405104,Q17855063
7156,CACNB3,Olfactory epithelial cells,Q101405047,Q17855063
7157,CACNB3,Retinal ganglion cells,Q101405117,Q17855063
7158,NWD2,Neurons,Q101405104,Q18043086
7159,TESC,Neurons,Q101405104,Q18041459
7160,TESC,Olfactory epithelial cells,Q101405047,Q18041459
7161,NECAB3,Neurons,Q101405104,Q18045513
7162,DGKB,Neurons,Q101405104,Q17912672
7163,CACNB4,Neurons,Q101405104,Q17855160
7164,CTTNBP2,Neurons,Q101405104,Q18047356
7165,PCP4,Neurons,Q101405104,Q18030390
7166,PCP4,Purkinje neurons,Q101404913,Q18030390
7167,PCP4,Pyramidal cells,Q101404930,Q18030390
7168,BEX2,Neurons,Q101405104,Q18047744
7169,BEX1,Neurons,Q101405104,Q18042118
7170,NDN,Neurons,Q101405104,Q18029889
7171,CAMK2N1,Neurons,Q101405104,Q18041820
7172,PNISR,Neurons,Q101405104,Q18037827
7173,SNHG11,Neurons,Q101405104,Q18049878
7174,STMN2,Neurons,Q101405104,Q18036104
7175,PTK2B,Neurons,Q101405104,Q17927283
7176,GNG2,Neurons,Q101405104,Q18040980
7177,VSNL1,Neurons,Q101405104,Q18032340
7178,CACNA2D1,Neurons,Q101405104,Q17854930
7179,SGIP1,Neurons,Q101405104,Q18047498
7180,ATP6V0A1,Neurons,Q101405104,Q18247886
7181,MYO5A,Neurons,Q101405104,Q15320940
7182,PRUNE2,Neurons,Q101405104,Q18052407
7183,PRUNE2,Trigeminal neurons,Q101404857,Q18052407
7184,ELAVL3,Neurons,Q101405104,Q17916200
7185,DEFA1,Neutrophils,Q101405102,Q15996609
7186,DEFA1,Paneth cells,Q101405040,Q15996609
7187,DEFA3,Neutrophils,Q101405102,Q17913937
7188,DEFA3,Paneth cells,Q101405040,Q17913937
7189,ELANE,Neutrophils,Q101405102,Q14905648
7190,HP,Neutrophils,Q101405102,Q14820943
7191,MMP8,Neutrophils,Q101405102,Q18029194
7192,LRG1,Neutrophils,Q101405102,Q18049259
7193,LRG1,Pulmonary alveolar type II cells,Q101404950,Q18049259
7194,ASPRV1,Neutrophils,Q101405102,Q18052013
7195,NCF1,Neutrophils,Q101405102,Q18060600
7196,SORL1,Neutrophils,Q101405102,Q7392091
7197,ARG2,Neutrophils,Q101405102,Q17831652
7198,IL1R2,Neutrophils,Q101405102,Q18032637
7199,IL1R2,T helper cells,Q101404876,Q18032637
7201,CD177,Neutrophils,Q101405102,Q18042910
7202,OAS3,Neutrophils,Q101405102,Q18030250
7203,AZU1,Neutrophils,Q101405102,Q4833116
7204,SERPINB1,Neutrophils,Q101405102,Q17916103
7205,CAMP,Neutrophils,Q101405102,Q24739493
7206,CAMP,Sebocytes,Q101405069,Q24739493
7207,ADPGK,Neutrophils,Q101405102,Q18047148
7208,PSTPIP1,Neutrophils,Q101405102,Q18033787
7209,DOCK8,Neutrophils,Q101405102,Q18047088
7210,NLRP3,Neutrophils,Q101405102,Q14905618
7211,NLRP3,Osteoblasts,Q101405044,Q14905618
7212,NLRP3,Podocytes,Q101405039,Q14905618
7213,KLRK1,NK cells,Q68620803,Q17544382
7214,SIGLEC7,NK cells,Q68620803,Q18038566
7215,NCR1,NK cells,Q68620803,Q18034107
7216,GZMH,NK cells,Q68620803,Q18026716
7217,GZMH,T cells,Q101405075,Q18026716
7218,GZMM,NK cells,Q68620803,Q18026730
7219,HMBOX1,NK cells,Q68620803,Q18046206
7220,CD3G,NK cells,Q68620803,Q17857730
7221,CD3G,Purkinje neurons,Q101404913,Q17857730
7222,CD3G,T cells,Q101405075,Q17857730
7223,CD3G,T helper cells,Q101404876,Q17857730
7225,CD3G,T memory cells,Q101405071,Q17857730
7226,PCDH15,NK cells,Q68620803,Q18045862
